,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,29,46,-0.2266666636444445,0.06334459454109409,13.833333333333334,0.535681186283596,5.747605807846772,13.833333333333334,578,1078,2.799627213420317,17,7.51948051948052
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,44,23,0.3134328311427936,0.06713426846980534,13.506666666666666,0.42546890424481737,5.572854228364594,13.506666666666666,431,1005,2.5365111561866125,19,6.684577114427861
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,36,26,0.16129031997918838,0.06037000967831547,12.767123287671232,0.43240343347639487,5.279810688459051,12.767123287671232,403,929,2.502202643171806,17,6.673842841765339
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,26,5,0.677419332986473,0.05636363626115703,7.084507042253521,0.4711729622266402,3.0222720017920643,7.084507042253521,237,494,2.589430894308943,1,6.935222672064778
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,45,8,0.6981131943752228,0.06408706159118856,12.774193548387096,0.4595959595959596,5.293515803193223,12.774193548387096,364,789,2.503846153846154,5,6.718631178707224
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,33,6,0.6923076745562136,0.1089385471817359,16.714285714285715,0.5014245014245015,6.886284086284087,16.714285714285715,176,349,2.7220630372492836,9,7.017191977077364
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,45,15,0.4999999916666668,0.05434782603772841,14.36111111111111,0.5087040618955513,5.947926069202666,14.36111111111111,526,1031,2.712745098039216,8,7.028128031037827
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,25,70,-0.47368420554016627,0.14415781465226432,8.432432432432432,0.47275641025641024,3.562075537075537,8.432432432432432,295,618,2.570048309178744,12,6.86084142394822
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,58,22,0.4499999943750001,0.11157601100198604,8.87012987012987,0.3850658857979502,3.7020783023711283,8.87012987012987,263,678,2.3807407407407406,6,6.563421828908554
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,25,32,-0.12280701538935061,0.07744565206868798,13.666666666666666,0.3830703012912482,5.619894787183166,13.666666666666666,267,696,2.361069836552749,1,6.498563218390805
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,25,21,0.08695651984877131,0.05808080800747373,10.041666666666666,0.5131396957123098,4.221922544951591,10.041666666666666,371,719,2.720505617977528,7,7.3449235048678725
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,24,73,-0.5051546339674781,0.14327917260963194,9.214285714285714,0.47751937984496123,3.87672203765227,9.214285714285714,308,637,2.5585023400936038,14,6.846153846153846
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,23,11,0.35294116608996573,0.06563706551035316,12.552631578947368,0.47379454926624737,5.210570451285446,12.552631578947368,226,476,2.534782608695652,6,6.857142857142857
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,11,6,0.2941176297577865,0.05610561037588908,18.333333333333332,0.4727272727272727,7.5224242424242425,18.333333333333332,130,275,2.6988847583643123,1,7.170909090909091
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,17,0.2444444390123458,0.07627118631140477,19.535714285714285,0.4826325411334552,8.007338730739097,19.535714285714285,264,547,2.6486988847583643,1,7.212065813528336
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,24,29,-0.0943396208615166,0.062352941103114186,12.838709677419354,0.47613065326633164,5.325936132274275,12.838709677419354,379,792,2.5716129032258066,6,6.945707070707071
